name, abbreviation	
Boston Celtics, bos
Brooklyn Nets, bkn
New York Knicks, ny
Philadelphia 76ers, phi
Toronto Raptors, tor
Golden State Warriors, gs
Los Angeles Clippers, lac
Los Angeles Lakers, lal
Phoenix Suns, phx
Sacramento Kings, sac
Chicago Bulls, chi
Cleveland Cavaliers, cle
Detroit Pistons, det
Indiana Pacers, ind
Milwaukee Bucks, mil
Dallas Mavericks, dal
Houston Rockets, hou
Memphis Grizzlies, mem
New Orleans Hornets, no
San Antonio Spurs, sa
Atlanta Hawks, atl
Charlotte Bobcats, cha
Miami Heat, mia
Orlando Magic, orl
Washington Wizards, wsh
Denver Nuggets, den
Minnesota Timberwolves, min
Oklahoma City Thunder, okc
Portland Trail Blazers, por
Utah Jazz, uta